tag	tag_type	sequence	sequence_vector	uv
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399洛克王国@ps->4399@ps->4399洛克王国@ps->4399@ps	-4	40
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399小游戏@ps->4399@ps->4399小游戏@ps->4399@ps	-4	25
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@video->4399@ps->4399@video->4399@ps	-4	25
平台词17173、游侠网、电玩巴士等	1	游侠@ps->游侠@video->游侠@ps->游侠@video->游侠@ps	-4	17
平台词17173、游侠网、电玩巴士等	1	4399@video->4399@ps->4399@video->4399@ps->4399@video	-4	13
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@video->4399@ps->@video->4399@ps	-4	11
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@image->4399@ps->4399@image->4399@ps	-4	11
平台词17173、游侠网、电玩巴士等	1	17173@ps->龙剑@ps->龙剑@video->龙剑@ps->17173@ps	-4	10
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399@ps->4399小游戏@ps->4399@ps	-3	173
平台词17173、游侠网、电玩巴士等	1	4399洛克王国@ps->4399@ps->4399洛克王国@ps->4399@ps	-3	99
平台词17173、游侠网、电玩巴士等	1	4399@video->4399@ps->4399@video->4399@ps	-3	83
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->游侠网@ps->游民星空@ps->游侠网@ps	-3	78
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@video->4399@ps->4399@video	-3	63
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->7k7k小游戏@ps->4399小游戏@ps->4399@ps	-3	60
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399洛克王国@ps->4399小游戏@ps->4399@ps	-3	56
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399小游戏大全@ps->4399小游戏@ps->4399@ps	-3	54
平台词17173、游侠网、电玩巴士等	1	龙剑@ps->龙剑@video->龙剑@ps->17173@ps	-3	46
